# Kernel;Prior;PCA;Dataset;Gamma;C;K;MinDCF
RBF;$\pi = 0.9$;PCA $(m=5)$;RAW;$\gamma = 1$;$C = 10$;$K = 10$;0.9949238578680202
RBF;$\pi = 0.5$;No PCA;Z-Norm;$\gamma = 1$;$C = 10$;$K = 10$;0.1136407007366131
RBF;$\pi = 0.1$;No PCA;Z-Norm;$\gamma = 1$;$C = 10$;$K = 10$;0.5086256249761459
RBF;$\pi = 0.9$;No PCA;Z-Norm;$\gamma = 1$;$C = 10$;$K = 10$;0.22141139651158356
RBF;$\pi = 0.5$;PCA $(m=5)$;Z-Norm;$\gamma = 1$;$C = 10$;$K = 10$;0.0993333587776548
RBF;$\pi = 0.1$;PCA $(m=5)$;Z-Norm;$\gamma = 1$;$C = 10$;$K = 10$;0.41537982010864727
RBF;$\pi = 0.9$;PCA $(m=5)$;Z-Norm;$\gamma = 1$;$C = 10$;$K = 10$;0.12407923361703753
RBF;$\pi = 0.5$;No PCA;RAW;$\gamma = 10^-3$;$C = 1$;$K = 10$;0.09965014057987609
RBF;$\pi = 0.1$;No PCA;RAW;$\gamma = 10^-3$;$C = 1$;$K = 10$;0.43146317570576187
RBF;$\pi = 0.9$;No PCA;RAW;$\gamma = 10^-3$;$C = 1$;$K = 10$;0.2065989847715736
RBF;$\pi = 0.5$;PCA $(m=5)$;RAW;$\gamma = 10^-3$;$C = 1$;$K = 10$;0.09971375138353498
RBF;$\pi = 0.1$;PCA $(m=5)$;RAW;$\gamma = 10^-3$;$C = 1$;$K = 10$;0.4162970878974085
RBF;$\pi = 0.9$;PCA $(m=5)$;RAW;$\gamma = 10^-3$;$C = 1$;$K = 10$;0.19333613220869433
RBF;$\pi = 0.5$;No PCA;Z-Norm;$\gamma = 10^-3$;$C = 1$;$K = 10$;0.6406269480808621
RBF;$\pi = 0.1$;No PCA;Z-Norm;$\gamma = 10^-3$;$C = 1$;$K = 10$;0.9236085136699618
RBF;$\pi = 0.9$;No PCA;Z-Norm;$\gamma = 10^-3$;$C = 1$;$K = 10$;0.8309644670050761
RBF;$\pi = 0.5$;PCA $(m=5)$;Z-Norm;$\gamma = 10^-3$;$C = 1$;$K = 10$;0.7135707288525883
RBF;$\pi = 0.1$;PCA $(m=5)$;Z-Norm;$\gamma = 10^-3$;$C = 1$;$K = 10$;0.9050481533783697
